长安,长安CS35 PLUS,https://p3-dcd.byteimg.com/img/motor-mis-img/810127c3c51f072dd2ea70a1a5aa09db~tplv-resize:640:0.png,20937,"[6.99, 8.19]",长安汽车,242,小型SUV,汽油,2023.09,3年或10万公里
哪吒汽车,哪吒X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3059efaeb1a34d239cfd8773daf6affa~tplv-resize:640:0.png,20933,"[8.98, 12.48]",合众汽车,243,紧凑型SUV,纯电动,2024.08,4年或12万公里
乐道,乐道L60,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/780f784ba2494f0f85f23f277491b9a1~tplv-resize:640:0.png,20761,"[20.69, 25.59]",蔚来,244,中型SUV,纯电动,2024.09,4年或10万公里
岚图,岚图FREE,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9fa913c63aca487c9056699a53fb9a56~tplv-resize:640:0.png,20716,"[22.39, 25.19]",岚图汽车,245,中大型SUV,增程式,2024.06,5年或10万公里
吉利银河,银河星舰7 EM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5b2555ddc28b4e81b37c0508d728d609~tplv-resize:640:0.png,20636,"[9.98, 13.28]",吉利银河,246,紧凑型SUV,插电式混合动力,2024.12,6年或15万公里
荣威,荣威D7 DMH,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8f5ff099d811440e9765d3840d675d6c~tplv-resize:640:0.png,20431,"[9.98, 11.98]",上汽集团,247,中型车,插电式混合动力,2024.11,6年或15万公里
阿维塔,阿维塔 07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8b7d620a07494ec4a54bbd467b1aa2da~tplv-resize:640:0.png,20234,"[21.99, 28.99]",阿维塔科技,248,中型SUV,增程式,2024.09,5年或12万公里
本田,本田XR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7e190de9cd674a5c91fe8eae6e5bf98c~tplv-resize:640:0.png,19823,"[8.89, 10.89]",东风本田,249,小型SUV,汽油,2023.08,3年或10万公里
五菱汽车,五菱星光S PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d5bf16c6096d4b7992295f662be7c2d7~tplv-resize:640:0.png,19790,"[7.98, 9.98]",上汽通用五菱,250,紧凑型SUV,插电式混合动力,2024.08,6年或15万公里
东风奕派,eπ008,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b48753d8324c46888c9faa124749ac5d~tplv-resize:640:0.png,19774,"[17.86, 18.86]",东风乘用车,251,中大型SUV,增程式,2024.11,3年或10万公里
广汽传祺,影豹,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f7497d63f43a4cd18405d73636001342~tplv-resize:640:0.png,19660,"[9.3, 15]",广汽传祺,252,紧凑型车,汽油,2024.05,3年或10万公里
江铃集团新能源,小麒麟,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d13f128f45534d52b3ea09b9214b96b2~tplv-resize:640:0.png,19628,"[4.99, 5.19]",江铃集团新能源,253,微型车,纯电动,2024.09,3年或6万公里
大众,揽境,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/36a6f14339ea4a569d4c4b66c3f0d6ad~tplv-resize:640:0.png,19570,"[23.19, 33.19]",一汽-大众,254,中大型SUV,汽油,2025.01,3年或10万公里
本田,艾力绅,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6e47f427778d4991aef25a6268c89c28~tplv-resize:640:0.png,19570,"[23.18, 28.38]",东风本田,255,中型MPV,油电混合,2023.07,3年或10万公里
福特,探险者,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e176b8cf1d934c2c80c3db40747a214c~tplv-resize:640:0.png,19400,"[30.98, 39.98]",长安福特,256,中大型SUV,汽油,2024.09,3年或10万公里
比亚迪,比亚迪e2,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b8781cd4b8d749f997db471d7ee5b563~tplv-resize:640:0.png,19370,"[8.98, 9.68]",比亚迪,257,紧凑型车,纯电动,2024.03,6年或15万公里
ARCFOX极狐,极狐 考拉,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6a1f9bf3228f4c4a8e386f2e8f1a10ef~tplv-resize:640:0.png,19289,"[11.98, 14.68]",北汽新能源,258,紧凑型MPV,纯电动,2023.09,5年或12万公里
东风风行,菱智,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1b4c5e581271490ab064442a9188b466~tplv-resize:640:0.png,19156,"[5.69, 9.99]",东风风行,259,中型MPV,汽油,2023.09,5年或10万公里
吉利几何,吉利几何E萤火虫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab171bed6a464941a57445172e7bf752~tplv-resize:640:0.png,19116,"[5.98, 8.28]",吉利几何,260,小型SUV,纯电动,2024.03,4年或10万公里
捷达,捷达VS7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/de7a72b2eda044a7aaeff1eca92504c1~tplv-resize:640:0.png,18803,"[8.88, 12.89]",一汽-大众捷达,261,中型SUV,汽油,2024.04,3年或10万公里
SRM鑫源,金海狮,https://p3-dcd.byteimg.com/img/motor-mis-img/420edba187de7d68b797455324ccd5af~tplv-resize:640:0.png,18774,"[6.09, 10.59]",鑫源汽车,262,微面,汽油,2023.09,2年或10万公里
奔腾,奔腾NAT,https://p3-dcd.byteimg.com/img/motor-mis-img/86e59b68321279091b353bb89ec0d411~tplv-resize:640:0.png,18717,"[13.18, 16.48]",一汽奔腾,263,紧凑型MPV,纯电动,2024.12,3年或30万公里
荣威,荣威RX5,https://p3-dcd.byteimg.com/img/motor-mis-img/50e4ec0931df36a7ac8c841a023e5a60~tplv-resize:640:0.png,18678,"[7.19, 12.79]",上汽集团,264,紧凑型SUV,汽油,2022.08,3年或10万公里
五菱汽车,五菱星辰,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e365b62932e14542987c0ec29e807693~tplv-resize:640:0.png,18301,"[6.18, 8.98]",上汽通用五菱,265,紧凑型SUV,油电混合,2022.08,3年或10万公里
比亚迪,海豹,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/47aa2c230bd5475eabf82865b71fc484~tplv-resize:640:0.png,17528,"[17.58, 24.98]",比亚迪,266,中型车,纯电动,2024.08,6年或15万公里
小鹏汽车,小鹏P7+,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f678c45d186643d19d815c39205ebbd0~tplv-resize:640:0.png,17506,"[18.68, 21.88]",小鹏汽车,267,中大型车,纯电动,2024.11,5年或12万公里
吉利几何,吉利几何A,https://p9-dcd.byteimg.com/img/motor-mis-img/ef638ed8ed491bd5bb2a12337d91faa9~tplv-resize:640:0.png,17484,"[11.08, 13.88]",吉利几何,268,紧凑型车,纯电动,2023.08,4年或15万公里
哈弗,哈弗M6,https://p3-dcd.byteimg.com/img/motor-mis-img/3318a942828459ec7ce8bd81f8e187d9~tplv-resize:640:0.png,17310,"[6.19, 8.29]",长城汽车,269,紧凑型SUV,汽油,2023.03,3年或10万公里
长安欧尚,长安欧尚Z6 iDD新能源,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d2a56308a184ed89115a0b35d840d2e~tplv-resize:640:0.png,17143,"[12.58, 14.58]",长安汽车,270,紧凑型SUV,插电式混合动力,2023.06,3年或12万公里
奇瑞,瑞虎5x,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/060ec2e0b84d424fb9806d05f912f5ae~tplv-resize:640:0.png,16819,"[5.59, 7.89]",奇瑞汽车,271,小型SUV,汽油,2024.12,3年或10万公里
丰田,威飒,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/76d86d7327be4142963e2e6c9382294f~tplv-resize:640:0.png,16749,"[17.88, 26.58]",广汽丰田,272,中型SUV,汽油,2024.06,3年或10万公里
本田,冠道,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fc979e09cc8f450c9a1dceb57d57ec05~tplv-resize:640:0.png,16272,"[19.38, 28.38]",广汽本田,273,中型SUV,汽油,2023.08,3年或10万公里
本田,缤智,https://p9-dcd.byteimg.com/img/motor-mis-img/8667f54bc5d28b9ee06bf37dc60cc85f~tplv-resize:640:0.png,16033,"[8.99, 10.99]",广汽本田,274,小型SUV,汽油,2024.09,3年或10万公里
五菱汽车,五菱星光EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f6a280c8e57e47b9b0be62d706190714~tplv-resize:640:0.png,15917,"[8.98, 9.98]",上汽通用五菱,275,紧凑型车,纯电动,2024.04,6年或15万公里
奥迪,奥迪Q4 e-tron,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1830284b40ab4b27b72d12c96c731e08~tplv-resize:640:0.png,15781,"[18.26, 25.33]",一汽奥迪,276,紧凑型SUV,纯电动,2023.11,3年或10万公里
别克,别克E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/467fcfbe12a84b179c0d2810183b7ed6~tplv-resize:640:0.png,15360,"[16.19, 17.99]",上汽通用别克,277,中大型SUV,纯电动,2024.02,终身质保(首任非运营车主)
日产,骐达TIIDA,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c2bc63fa5a1142b9aba74bf02210d1cc~tplv-resize:640:0.png,15197,"[8.59, 11.19]",东风日产,278,紧凑型车,汽油,2023.08,3年或10万公里
起亚,赛图斯,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7fe56786e2be481da4a141a6d9364052~tplv-resize:640:0.png,15094,"[8.39, 12.39]",起亚,279,紧凑型SUV,汽油,2023.04,3年或10万公里
小鹏汽车,小鹏P7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/008ce8adb1ad4b24acfb8fade865172a~tplv-resize:640:0.png,15089,"[19.99, 22.49]",小鹏汽车,280,中型车,纯电动,2024.03,5年或12万公里
雪铁龙,凡尔赛C5 X,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fbb2febc93054b269bd8eeb04935102c~tplv-resize:640:0.png,14883,"[13.17, 17.47]",东风雪铁龙,281,中型车,汽油,2024.04,5年或15万公里
大众,Polo,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a6ee19f8cb8b4ad8bab7f2b3cb0e4fa1~tplv-resize:640:0.png,14811,"[7.29, 10.69]",上汽大众,282,小型车,汽油,2023.05,3年或10万公里
埃安,AION RT,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8821c3282a0347f6a6dc286a45fbfd5c~tplv-resize:640:0.png,14808,"[11.98, 16.58]",广汽埃安新能源,283,紧凑型车,纯电动,2024.11,4年或15万公里
五菱汽车,五菱征程,https://p9-dcd.byteimg.com/img/motor-mis-img/14a5f4d31b2390bbe29d1e2ed5c86725~tplv-resize:640:0.png,14753,"[6.98, 9.08]",上汽通用五菱,284,中大型MPV,汽油,2022.09,3年或6万公里
本田,飞度,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b5c8d75fc81441138fe8368f946c97b1~tplv-resize:640:0.png,14742,"[8.08, 10.28]",广汽本田,285,小型车,汽油,2024.03,3年或10万公里
奔驰,威霆,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c3f22ffe8d57498493e3336dc3333fd2~tplv-resize:640:0.png,14716,"[22.28, 31.58]",福建奔驰,286,中大型MPV,48V轻混系统,2024.08,3年或6万公里
大众,威然,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4cd4facb17b54ead99f1da162272c269~tplv-resize:640:0.png,14675,"[19.99, 29.99]",上汽大众,287,中大型MPV,汽油,2023.08,3年或10万公里
宝骏,云朵,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f7956c20545c4c87ba29f4b30e6caaf9~tplv-resize:640:0.png,14578,"[9.58, 14.58]",上汽通用五菱,288,紧凑型车,纯电动,2023.08,3年或10万公里
长安,逸达,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/eac9a5b665864f3b8c6b0b1d72e3f2bc~tplv-resize:640:0.png,14465,"[6.99, 9.59]",长安汽车,289,紧凑型车,汽油,2023.08,3年或10万公里
比亚迪,海狮05 DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5d6113930d0d47179af45db6a218b289~tplv-resize:640:0.png,14261,"[10.28, 13.28]",比亚迪,290,紧凑型SUV,插电式混合动力,2024.09,6年或15万公里
坦克,坦克700 Hi4-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dba086fd7b2f4b1ebf8b104dc26331c3~tplv-resize:640:0.png,14067,"[41.7, 70]",长城汽车,291,中大型SUV,插电式混合动力,2024.02,5年或15万公里
长安,长安UNI-K,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/458c4ef6b652476e8519de66e0912a74~tplv-resize:640:0.png,14060,"[12.99, 15.99]",长安汽车,292,中型SUV,汽油,2023.11,3年或10万公里
标致,标致408,https://p3-dcd.byteimg.com/img/motor-mis-img/e734863947662cd987a9be96b479f828~tplv-resize:640:0.png,14022,"[8.07, 9.67]",东风标致,293,紧凑型车,汽油,2024.03,5年或15万公里
曹操汽车,曹操60,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/fef8894a0d9b4d42a1d0a42d7f6e8416~tplv-resize:640:0.png,13991,"[12.98, 16.98]",曹操汽车,294,紧凑型车,纯电动,2024.09,2年15万公里
上汽大通MAXUS,大通G50,https://p3-dcd.byteimg.com/img/motor-mis-img/1f8cf3e8aa8da7a93d7fa90a0ed6e5d6~tplv-resize:640:0.png,13814,"[7.78, 14.08]",上汽大通,295,紧凑型MPV,汽油,2024.10,3年或6万公里
星途,星途瑶光,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a3cd85c17abd4e6ab6723257e2db7ede~tplv-resize:640:0.png,13721,"[13.28, 18.68]",星途,296,中型SUV,汽油,2024.07,3年或10万公里
起亚,狮铂拓界,https://p3-dcd.byteimg.com/img/motor-mis-img/64635680904a46d6cc34230eaf9a9552~tplv-resize:640:0.png,13350,"[12.18, 17.78]",起亚,301,紧凑型SUV,汽油,2022.11,5年或10万公里
极氪,ZEEKR X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/87bf9e60731445798436e52d5c9c042d~tplv-resize:640:0.png,13316,"[14.9, 19.9]",极氪,302,紧凑型SUV,纯电动,2024.11,4年或10万公里
北京汽车制造厂,锐胜王牌M7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9ab40d5c662d43be9e3e28282ab17ad7~tplv-resize:640:0.png,13143,"[5.98, 15.68]",北京汽车制造厂,303,中大型MPV,汽油,2024.10,3年或6万公里
荣威,荣威i6 MAX EV,https://p3-dcd.byteimg.com/img/motor-mis-img/4a62b4c1ac07ae8e723dc417a5f06360~tplv-resize:640:0.png,12957,"[15.28, 18.18]",上汽集团,304,紧凑型车,纯电动,2022.04,3年或10万公里
捷途,捷途山海L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/443f04d4389f49de90c7b449e65801a9~tplv-resize:640:0.png,12891,"[15.69, 17.89]",奇瑞汽车,305,中型SUV,插电式混合动力,2023.11,4年或10万公里
东风风神,东风风神E70,https://p9-dcd.byteimg.com/img/motor-mis-img/3645e5106165def002a7ab1f2300c71c~tplv-resize:640:0.png,12884,"[14.28, 15.38]",东风乘用车,306,紧凑型车,纯电动,2023.03,3年或30万公里
荣威,荣威D7 EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/279198c170654088bb304d89cfc3d72f~tplv-resize:640:0.png,12488,"[12.98, 18.08]",上汽集团,307,中型车,纯电动,2024.11,6年或15万公里
广汽传祺,传祺E9 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c5d2d86a507f4721af7f582a6c661243~tplv-resize:640:0.png,12409,"[31.98, 40.98]",广汽传祺,308,中大型MPV,插电式混合动力,2024.11,3年或10万公里
林肯,林肯Z,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4694157ee5604cc2af6a9edc0a811146~tplv-resize:640:0.png,12400,"[19.98, 31.58]",长安林肯,309,中型车,汽油,2024.09,5年或14万公里
比亚迪,海豹06GT,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/672c5e9c36d24ac09e4ad2aaced79d78~tplv-resize:640:0.png,12285,"[13.68, 18.68]",比亚迪,310,中型车,纯电动,2024.10,6年或15万公里
日产,探陆,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1e9d215e79504327b7fcee191d8caaf4~tplv-resize:640:0.png,12186,"[20.98, 27.18]",东风日产,311,中大型SUV,汽油,2024.03,3年或10万公里
奔驰,奔驰V级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cf19e3c962774001b651146becadbd34~tplv-resize:640:0.png,12126,"[32.88, 56.38]",福建奔驰,312,中大型MPV,48V轻混系统,2024.08,3年或6万公里
捷途,捷途山海L7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4c3be5c0d34042c58ff44121eef74520~tplv-resize:640:0.png,12009,"[11.98, 14.98]",奇瑞汽车,313,中型SUV,插电式混合动力,2024.09,4年或10万公里
领克,领克06 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3576f04188924b51916a143c9eda9f77~tplv-resize:640:0.png,11959,"[12.28, 14.28]",领克,314,小型SUV,插电式混合动力,2024.09,5年或10万公里
宝马,宝马iX1,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6be86ba2f00e43059b5aed3b2b40f6d6~tplv-resize:640:0.png,11849,"[18.13, 20.49]",华晨宝马,315,紧凑型SUV,纯电动,2023.08,3年或10万公里
林肯,冒险家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ca080a5ebc71424c9cfa4054f7c00023~tplv-resize:640:0.png,11804,"[19.58, 29.58]",长安林肯,316,紧凑型SUV,汽油,2024.03,5年或14万公里
哈弗,哈弗H9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a9ccdcd20da4499581d45c7edaf7f8af~tplv-resize:640:0.png,11651,"[18.99, 24.59]",长城汽车,317,中大型SUV,汽油,2024.09,5年或15万公里
深蓝汽车,深蓝L07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/149288d6e51d457482c6cfd53fc63118~tplv-resize:640:0.png,11575,"[14.19, 16.39]",深蓝汽车,318,中型车,增程式,2024.09,3年或12万公里
比亚迪,护卫舰07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2913aee83b70474581c53128d4140b91~tplv-resize:640:0.png,11400,"[16.98, 23.48]",比亚迪,319,中型SUV,插电式混合动力,2024.03,6年或15万公里
福特,锐际,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85d383a99d24b91b83a3b4e46f711fe~tplv-resize:640:0.png,11342,"[13.98, 18.98]",长安福特,320,紧凑型SUV,汽油,2023.08,3年或10万公里
启辰,启辰D60,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/19edcae930eb41e6995bb85e5ae1dea3~tplv-resize:640:0.png,11318,"[6.66, 7.83]",东风日产,321,紧凑型车,汽油,2023.02,3年或10万公里
现代,索纳塔,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d6d54839e6846ef9a26c1c66cc68d61~tplv-resize:640:0.png,11134,"[12.48, 17.18]",北京现代,322,中型车,汽油,2024.03,可选：3年或15万公里/5年或10万公里/7年或7万公里
江淮钇为,钇为3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d3b291d46e574b7db4455249b26a1887~tplv-resize:640:0.png,11113,"[6.49, 11.99]",江汽集团,323,小型车,纯电动,2024.03,4年或15万公里
路虎,揽胜极光,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/17fa915b97a743298e3f8bb5233c9d05~tplv-resize:640:0.png,11065,"[26.32, 32.35]",奇瑞捷豹路虎,324,中型SUV,48V轻混系统,2024.04,3年或10万公里
起亚,起亚K3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/472cba0cc0a54bd6aca66872589b2e1d~tplv-resize:640:0.png,10938,"[7.69, 10.89]",起亚,325,紧凑型车,汽油,2024.02,3年或10万公里
别克,世纪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3757e3369f4c424bb024cbdd0b33837e~tplv-resize:640:0.png,10857,"[46.19, 68.99]",上汽通用别克,326,中大型MPV,48V轻混系统,2024.11,3年或10万公里
理想汽车,理想MEGA,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d0437ce51fc94ffb8c4d700c169ce3f5~tplv-resize:640:0.png,10798,"[52.98, 52.98]",理想汽车,327,大型MPV,纯电动,2024.03,5年或10万公⾥
五菱汽车,五菱星光S EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e9014b99aaec41689488a6e63396bd87~tplv-resize:640:0.png,10794,"[9.98, 10.98]",上汽通用五菱,328,紧凑型SUV,纯电动,2024.08,6年或15万公里
启辰,启辰VX6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a00b2c2ef316486dbec5384a722cc5d6~tplv-resize:640:0.png,10762,"[12.09, 14.59]",东风日产,329,中型SUV,纯电动,2024.10,6年或15万公里
星途,星途揽月,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c2c1ff8d9b341d5802554e8b831699c~tplv-resize:640:0.png,10756,"[18.99, 22.99]",星途,330,中大型SUV,汽油,2024.08,3年或10万公里
捷途,捷途山海T1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/82d7aefe263642ae9dda0f7b93086b56~tplv-resize:640:0.png,10728,"[14.98, 16.98]",奇瑞汽车,331,紧凑型SUV,插电式混合动力,2024.10,4年或10万公里
昊铂,昊铂HT,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/973f2a8d61c04ed19d61f18aa9d5c08e~tplv-resize:640:0.png,10637,"[18.69, 28.69]",广汽埃安新能源,332,中大型SUV,纯电动,2024.10,6年或15万公里
丰田,凌放HARRIER,https://p9-dcd.byteimg.com/img/motor-mis-img/b797413d40370e0efc7a2dfa9b5e9cf7~tplv-resize:640:0.png,10632,"[17.18, 25.58]",一汽丰田,333,中型SUV,汽油,2024.09,3年或10万公里
大众,探影,https://p9-dcd.byteimg.com/img/motor-mis-img/1f13ff8a44ab52143390f45ff0a7b8b5~tplv-resize:640:0.png,10465,"[10.69, 10.99]",一汽-大众,334,小型SUV,汽油,2023.09,3年或10万公里
现代,库斯途,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5b39278eaa5f4959818195469f5c0d36~tplv-resize:640:0.png,10379,"[14.68, 19.58]",北京现代,335,中大型MPV,汽油,2024.08,5年或10万公里
哪吒汽车,哪吒S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5b33847b129473f8fd1ea7239dc73f5~tplv-resize:640:0.png,10264,"[15.48, 22.48]",合众汽车,336,中大型车,增程式,2023.07,4年或12万公里
启辰,启辰D60 EV,https://p9-dcd.byteimg.com/img/motor-mis-img/9defc15eb235673157d66da8cbba5273~tplv-resize:640:0.png,10236,"[12.98, 13.78]",东风日产,337,紧凑型车,纯电动,2022.10,3年或12万公里
大运,悦虎,https://p3-dcd.byteimg.com/img/motor-mis-img/734908e2eb6373bc7e736fae703e25f6~tplv-resize:640:0.png,10208,"[6.38, 8.699]",大运汽车,338,小型SUV,纯电动,2023.06,3年或12万公里
路虎,发现运动版,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/42df37a2a1d24acdb11be0f719bd8502~tplv-resize:640:0.png,10183,"[23.3, 39.99]",奇瑞捷豹路虎,339,中型SUV,48V轻混系统,2024.07,3年或10万公里
领克,领克09 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f29a0b794aff4900a5d45b49a9a667e3~tplv-resize:640:0.png,10113,"[26.48, 31.99]",领克,340,中大型SUV,插电式混合动力,2024.01,5年或10万公里
腾势,腾势N7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64c39c89935142829cfe0ca295dc9538~tplv-resize:640:0.png,10112,"[23.68, 32.68]",腾势汽车,341,中型SUV,纯电动,2024.04,6年或15万公里
日产,劲客,https://p3-dcd.byteimg.com/img/motor-mis-img/504fb3220f62bbc899bbe7bdbdb15d0a~tplv-resize:640:0.png,10040,"[8.58, 9.98]",东风日产,342,小型SUV,汽油,2023.07,3年或10万公里
腾势,腾势Z9GT DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8dc624ad9a764415addd500e616efb3d~tplv-resize:640:0.png,9959,"[33.48, 41.48]",腾势汽车,343,中大型车,插电式混合动力,2024.09,6年或15万公里
丰田,普拉多,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/497f52d1db1740f1b91746f1b6b65de2~tplv-resize:640:0.png,9881,"[43.98, 52.98]",一汽丰田,344,中大型SUV,油电混合,2024.04,3年或10万公里
知豆,知豆彩虹,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2423341df9e64b588bf3aa9fa66604d3~tplv-resize:640:0.png,9832,"[3.19, 4.39]",知豆电动车,345,微型车,纯电动,2024.04,3年或10万公里
启辰,启辰大V DD-i超混动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9d1e245dc33446edb0cd4bd7bd7ae3c0~tplv-resize:640:0.png,9732,"[9.89, 13.29]",东风日产,346,紧凑型SUV,插电式混合动力,2023.07,6年或15万公里
江淮瑞风,瑞风M3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/75413675bb584b12b0c69d89817e5619~tplv-resize:640:0.png,9724,"[6.48, 12.49]",江汽集团,347,紧凑型MPV,汽油,2024.11,3年或10万公里
本田,本田UR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f475084cc3e44000a686ed8f7a955963~tplv-resize:640:0.png,9633,"[19.38, 27.68]",东风本田,348,中型SUV,汽油,2023.06,3年或10万公里
极越,极越01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f73c60325bef4f98b00f280bfc238a4f~tplv-resize:640:0.png,9548,"[21.99, 30.99]",极越,349,中大型SUV,纯电动,2024.08,4年或10万公里
凯翼,凯翼拾月,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d654726800a34ad197462e1a65864112~tplv-resize:640:0.png,9445,"[5.39, 9.98]",凯翼汽车,350,微型车,纯电动,2023.11,3年或12万公里
宝骏,悦也,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89571c98d16249bfa17a9e614ecedea0~tplv-resize:640:0.png,9428,"[7.98, 9.08]",上汽通用五菱,351,小型SUV,纯电动,2024.04,3年或10万公里
比亚迪,唐EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9abfa6f1b282478ea183bb335db62127~tplv-resize:640:0.png,9287,"[21.98, 26.98]",比亚迪,352,中型SUV,纯电动,2024.04,6年或15万公里
蔚来,蔚来ES8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9295f8d058544ba49b6768d9badd0ca5~tplv-resize:640:0.png,9188,"[49.8, 59.8]",蔚来,353,中大型SUV,纯电动,2024.02,3年或12万公里
凯迪拉克,凯迪拉克XT4,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0a4bbf84f21a4ef991576b8619a433a1~tplv-resize:640:0.png,9131,"[15.97, 20.57]",上汽通用凯迪拉克,354,紧凑型SUV,48V轻混系统,2023.05,3年不限公里
捷豹,捷豹XFL,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ff4471d5fe15485abe12491dc23c2c78~tplv-resize:640:0.png,9085,"[26.98, 29.98]",奇瑞捷豹路虎,355,中大型车,汽油,2024.02,3年或10万公里
奔腾,奔腾T90,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/63bde24a00f647d19c0e384b88443aa7~tplv-resize:640:0.png,9051,"[9.88, 12.98]",一汽奔腾,356,紧凑型SUV,汽油,2024.09,3年或10万公里
